model,experiment,subject,accuracy,precision,recall,f1
svm,wrist_eda,S10,0.7761194029850746,0.8235294117647058,0.5384615384615384,0.6511627906976745
svm,wrist_eda,S11,0.7910447761194029,0.6486486486486487,0.96,0.7741935483870968
svm,wrist_eda,S13,0.7727272727272727,0.6153846153846154,1.0,0.7619047619047619
svm,wrist_eda,S14,0.625,0.5,0.08333333333333333,0.14285714285714285
svm,wrist_eda,S15,0.9393939393939394,0.9565217391304348,0.88,0.9166666666666666
svm,wrist_eda,S16,0.8615384615384616,1.0,0.625,0.7692307692307693
svm,wrist_eda,S17,0.6119402985074627,0.5,0.038461538461538464,0.07142857142857142
svm,wrist_heart,S2,0.8571428571428571,0.7333333333333333,0.9565217391304348,0.8301886792452831
svm,wrist_heart,S3,0.8125,0.7,0.875,0.7777777777777778
svm,wrist_heart,S4,0.9523809523809523,0.9545454545454546,0.9130434782608695,0.9333333333333333
svm,wrist_heart,S5,0.859375,0.71875,1.0,0.8363636363636363
svm,wrist_heart,S6,0.8153846153846154,0.7307692307692307,0.7916666666666666,0.76
svm,wrist_heart,S7,0.921875,0.8214285714285714,1.0,0.9019607843137255
svm,wrist_heart,S8,0.9545454545454546,0.8928571428571429,1.0,0.9433962264150944
svm,wrist_heart,S9,0.75,0.7692307692307693,0.43478260869565216,0.5555555555555556
svm,wrist_heart,S10,0.7761194029850746,0.6410256410256411,0.9615384615384616,0.7692307692307693
svm,wrist_heart,S11,0.9253731343283582,0.8333333333333334,1.0,0.9090909090909091
svm,wrist_heart,S13,0.8181818181818182,0.6666666666666666,1.0,0.8
svm,wrist_heart,S14,0.875,0.9,0.75,0.8181818181818182
svm,wrist_heart,S15,0.6818181818181818,0.5588235294117647,0.76,0.6440677966101694
svm,wrist_heart,S16,0.8923076923076924,0.7741935483870968,1.0,0.8727272727272727
svm,wrist_heart,S17,0.9253731343283582,0.8387096774193549,1.0,0.9122807017543859
svm,wrist_statistical,S2,0.7936507936507936,1.0,0.43478260869565216,0.6060606060606061
svm,wrist_statistical,S3,0.859375,0.7272727272727273,1.0,0.8421052631578947
svm,wrist_statistical,S4,1.0,1.0,1.0,1.0
svm,wrist_statistical,S5,0.921875,1.0,0.782608695652174,0.8780487804878049
svm,wrist_statistical,S6,0.9076923076923077,1.0,0.75,0.8571428571428571
svm,wrist_statistical,S7,0.546875,0.4423076923076923,1.0,0.6133333333333333
svm,wrist_statistical,S8,0.696969696969697,0.5609756097560976,0.92,0.696969696969697
svm,wrist_statistical,S9,0.890625,1.0,0.6956521739130435,0.8205128205128205
svm,wrist_statistical,S10,0.9552238805970149,0.9259259259259259,0.9615384615384616,0.9433962264150944
svm,wrist_statistical,S11,1.0,1.0,1.0,1.0
svm,wrist_statistical,S13,0.9545454545454546,0.8888888888888888,1.0,0.9411764705882353
svm,wrist_statistical,S14,0.796875,0.9230769230769231,0.5,0.6486486486486487
svm,wrist_statistical,S15,0.9090909090909091,0.8518518518518519,0.92,0.8846153846153846
svm,wrist_statistical,S16,0.8769230769230769,0.7666666666666667,0.9583333333333334,0.8518518518518519
svm,wrist_statistical,S17,0.8208955223880597,0.8181818181818182,0.6923076923076923,0.75
svm,chest_all,S2,0.6031746031746031,0.4,0.17391304347826086,0.24242424242424243
